Perioden	Regio's	Verkeer en vervoer/Motorvoertuigen/Personenauto's (aantal)	Verkeer en vervoer/Motorvoertuigen/Personenauto's. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Personenauto's particulieren (aantal)	Verkeer en vervoer/Motorvoertuigen/Personenauto's particulieren. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Bedrijfsmotorvoertuigen (aantal)	Verkeer en vervoer/Motorvoertuigen/Motorfietsen (aantal)	Verkeer en vervoer/Motorvoertuigen/Motorfietsen. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Voertuigen met bromfietskenteken (aantal)	Verkeer en vervoer/Motorvoertuigen/Voertuigen met bromfietskenteken (%) (per 1 000 inwoners)	Verkeer en vervoer/Lengte van wegen/Totale weglengte (kilometer)	Verkeer en vervoer/Lengte van wegen/Gemeentelijke en waterschapswegen (kilometer)	Verkeer en vervoer/Lengte van wegen/Provinciale wegen (kilometer)	Verkeer en vervoer/Lengte van wegen/Rijkswegen (kilometer)	Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpraktijk (km)	Nabijheid voorzieningen/Gezondheid/Aantal huisartsenpraktijken binnen 3 km (aantal)	Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpost (km)	Nabijheid voorzieningen/Gezondheid/Afstand tot ziekenhuis (km)	Nabijheid voorzieningen/Gezondheid/Aantal ziekenhuizen binnen 20 km (aantal)	Nabijheid voorzieningen/Kinderopvang/Afstand tot kinderdagverblijf (km)	Nabijheid voorzieningen/Kinderopvang/Aantal kinderdagverblijven binnen 3 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school basisonderwijs (km)	Nabijheid voorzieningen/Onderwijs/Aantal basisonderwijsscholen binnen 3 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school vmbo (km)	Nabijheid voorzieningen/Onderwijs/Aantal scholen vmbo binnen 5 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school havo/vwo (km)	Nabijheid voorzieningen/Onderwijs/Aantal scholen havo/vwo binnen 5 km (aantal)	Nabijheid voorzieningen/Detailhandel/Afstand tot grote supermarkt (km)	Nabijheid voorzieningen/Detailhandel/Aantal grote supermarkten binnen 3 km (aantal)	Nabijheid voorzieningen/Horeca/Afstand tot restaurant (km)	Nabijheid voorzieningen/Horeca/Aantal restaurants binnen 3 km (aantal)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot bibliotheek (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot bioscoop (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Aantal bioscopen binnen 10 km (aantal)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot zwembad (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot sportterrein (km)	Nabijheid voorzieningen/Groenvoorzieningen/Afstand tot openbaar groen (km)	Nabijheid voorzieningen/Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)	Nabijheid voorzieningen/Verkeer en vervoer/Afstand tot treinstation (km)	Milieu en bodemgebruik/Afval van huishoudens/Totaal huishoudelijk afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Huishoudelijk restafval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Grof huishoudelijk restafval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Gft-afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Oud papier en karton (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Verpakkingsglas (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Textiel (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Klein chemisch afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Overig huishoudelijk afval (1 000 kg)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Totale oppervlakte (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Land (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Water totaal (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Binnenwater (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Buitenwater (km²)	Milieu en bodemgebruik/Bodemgebruik/Omgevingsadressendichtheid (per km²)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Verkeersterrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Bebouwd terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Semi-bebouwd terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Recreatieterrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Agrarisch terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Bos en open natuurlijk terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Verkeersterrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Bebouwd terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Semi-bebouwd terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Recreatieterrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Agrarisch terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Bos en open natuurlijk terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Verkeersterrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Bebouwd terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Semi-bebouwd terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Recreatieterrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Agrarisch terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Bos en open natuurlijk terrein (ha / 1 000 inwoners)
2008	Kampen	18700	379	17926	363	2856	1780	36	3236	66	444	383	39	23	1.2	9	16.2	15.4	2			0.6	14.8	2.2	2.6	2.2	2.6	1.1	6.2	1.5	19.1	2.4	2.3	1	1.9	0.9	0.8	1.3	2.5	19732	10995	295	1879	3832	1051	188	41		161.84	141.45	20.39	20.39	0	1370	440	998	222	201	11650	753	3.1	7	1.6	1.4	81.7	5.3	9	20	4	4	236	15
2009	Kampen	19213	385	18379	369	2986	1802	36	3416	69	445	383	39	23	1.2	9		15.5	2	1.5	2.7	0.6	14.7	2.2	2.6	2.2	2.6	1	6.5	1.5	19	2.4	2.3	1	1.9			1.3	2.5	19505	10910	181	1540	3911	966	184	33	1779	161.84	142.54	19.31	19.31	0	1356																		
2010	Kampen	19552	391	18762	375	2973	1862	37	3606	72	445	383	39	23	1.3	8.4		15.5	2	1.6	2.9	0.6	14.6	2.2	2.6	2.2	2.6	1.1	6.5	1.5	19.1		2.3	1	1.9	0.8	0.6	1.3	2.5	19036	10063	159	1576	4054	944	218	44	1978	161.84	142.54	19.31	19.31	0	1339	460	1050	236	210	11536	731	3.2	7.4	1.7	1.5	81.1	5.1	9	21	5	4	230	15
2007	Kapelle	5589	466	5366	447	813	556	46	570	47	192	163	19	10	0.8	1.7	6.6	6.7	1	2.3	1.4	0.6	3.4	6.5	0.5	6.6	0.4					0.9						0.8	2.5	7710	2568	545	1458	1056	293	65	13	1712	49.66	37.14	12.52	1.04	11.48	528																		
2008	Kapelle	5724	475	5462	453	879	569	47	591	49	194	167	18	10	0.8	1.7	6.6	6.7	1			0.6	3.4	6.5	0.5	6.6	0.3	0.7	2.4	0.9	2.5	0.9	28.3	0	2.3	0.9	0.8	0.8	2.5	7849	2556	562	1403	1062	266	72	11	1917	49.66	37.14	12.52	1.04	11.48	541	250	337	101	49	2777	198	6.7	9.1	2.7	1.3	74.8	5.3	21	28	8	4	230	16
2009	Kapelle	5962	485	5662	461	876	599	49	670	55	194	168	17	10	0.8	1.7		6.7	1	0.8	2.4	0.6	3.4	6.5	0.5	6.6	0.3	0.7	2.4	0.9	2.5	0.9	8.7	0.7	2.3			0.9	2.5	7715	2657	509	1424	1013	246	64	12	1790	49.66	37.12	12.54	1.05	11.49	546																		
2010	Kapelle	6086	491	5775	466	941	639	52	728	59	194	168	17	10	0.8	1.7		6.7	1	0.8	2.4	0.6	3.4	6.5	0.5	6.6	0.3	0.7	2.4	1	2		8.7	0.7	2.3	0.9	0.8	0.9	2.5	7393	2701	427	1406	1028	261	64	13	1493	49.66	37.12	12.54	1.05	11.49	551	243	340	86	50	2819	175	6.5	9.1	2.3	1.3	75.9	4.7	20	27	7	4	227	14
2007	Katwijk	22285	365	20585	337	3733	1675	27	5532	91	203	188	15	0	0.6	12	6.2	6.4	7.6	1	2.6	0.4	16.3	1.1	5.5	1.7	3.7					0.9						1.2	6.6	27571	13791	236	5142	3344	1425		116		31.06	24.66	6.39	1.41	4.98	1914																		
2008	Katwijk	22736	372	21025	344	3696	1735	28	6256	102	203	188	15	0	0.6	12	6.1	6.3	7.6			0.4	16.1	1.1	5.5	1.7	3.7	0.6	8.4	0.6	17.8	0.9	7.3	3	1.9	0.9	0.5	1.2	6.5	29684	13979	1368	4783	4797	1378		98		31.06	24.66	6.39	1.41	4.98	1908	149	874	58	190	728	454	6.1	35.6	2.4	7.8	29.7	18.5	2	14	1	3	12	7
2009	Katwijk	23042	376	21352	348	3682	1794	29	6991	114	204	189	15	0	0.6	12		6.3	7.7	0.9	4.1	0.4	16.1	1.1	5.5	1.7	3.7	0.6	8.7	0.6	18.1	0.9	7.2	3	1.9			1.1	6.5	30712	13488	1262	5942	5293	1434		100		31.06	24.56	6.49	1.51	4.98	1930																		
2010	Katwijk	23220	376	21604	349	3663	1847	30	7721	125	210	195	15	0	0.6	12		6.3	7.5	0.9	4.8	0.4	16	1.2	5.5	1.8	3.7	0.6	8.6	0.6	18.5		7.3	3	1.9	0.8	0.6	1.1	6.6	31651	12766	1603	5792	6679	1532	324	103	2852	31.06	24.56	6.49	1.51	4.98	1944	150	881	66	194	711	452	6.1	35.9	2.7	7.9	29	18.4	2	14	1	3	12	7
2007	Kerkrade	22434	460	21713	445	2217	1811	37	2494	51	218	208	9	0	0.6	6.8	7.1	2.3	3	1.4	3.8	0.6	6.7	1.6	2.8	1.6	3.9					1.2						1.3	1.8	29328	13482	1450	4105	3404	935	251	63	5638	22.17	21.93	0.24	0.24	0	1486																		
2008	Kerkrade	22761	471	22051	456	2286	1847	38	2651	55	219	209	9	0	0.6	6.8	7.1	2.3	3			0.6	6.6	1.6	2.4	1.6	3.9	0.8	7.1	0.5	19.2	1.2	7.3	4	2.3	0.8	0.5	1.3	1.7	28612	13847	1424	3954	3460	902	256	58	4712	22.17	21.93	0.24	0.24	0	1490	142	1071	141	268	412	160	6.5	48.8	6.4	12.2	18.8	7.3	3	22	3	6	9	3
2009	Kerkrade	22879	476	22249	463	2327	1881	39	2860	59	220	210	9	0	0.6	6.9		2.3	3	1.5	2.6	0.6	6.7	1.6	2.8	2.4	3.1	0.8	7.1	0.5	19.3	1.2	7.3	3.9	2.3			1.3	1.8	28202	13378	1480	3951	3463	823	232	59	4817	22.17	21.93	0.24	0.24	0	1498																		
2010	Kerkrade	23068	484	22508	472	2374	1886	40	3073	64	220	211	9	0	0.6	6.6		2.3	3	1.1	3.5	0.6	6.7	1.6	2.8	2.4	3.1	0.8	7.1	0.5	19		7.3	3	2.3	0.7	0.4	1.3	1.8	27240	12719	1484	3564	3418	842	238	62	4912	22.17	21.93	0.24	0.24	0	1518	141	1087	121	274	410	161	6.4	49.5	5.5	12.5	18.7	7.4	3	23	3	6	9	3
2007	Kerkwijk																																																																							
2008	Kerkwijk																																																																							
2009	Kerkwijk																																																																							
2010	Kerkwijk																																																																							
2007	Kessel	2140	502	2052	481	426	196	46	142	33	101	93	2	6	1.2	1.4	11.9	11.5	2	1.1	3.2	0.7	2.1	3.7	0.9	7.1	0					1.1						0.6	4.1	2285	595	138	442	376	93	14	9	618	22.11	21.08	1.03	1.03	0	273																		
2008	Kessel	2159	506	2074	486	416	196	46	169	40	101	93	2	6	1.2	1.4	11.9	11.5	2			0.7	2.2	3.7	0.9	7.1	0	1.1	1.1	0.8	5.1	1.1	4.1	2	8.3	1.1	1.2	0.6	4.1	2110	604	87	415	320	99	22	6	558	22.11	21.08	1.03	1.03	0	274	55	138	4	21	1574	315	2.6	6.5	0.2	1	74.7	15	13	32	1	5	369	74
2009	Kessel	2178	512	2093	492	419	212	50	190	45	102	93	2	6	1.2	1.4		12.1	2	0.6	4	0.7	2	3.7	0.9	7.1	0	1.1	1.8	0.8	5.1	1.1	4.1	2	8.3			0.6	4.1	2480	669	120	418	387	97	23	6		22.11	21.08	1.03	1.03	0	274																		
2010	Kessel																																																																							
2007	Kesteren																																																																							
2008	Kesteren																																																																							
2009	Kesteren																																																																							
2010	Kesteren																																																																							
2007	Klundert																																																																							
2008	Klundert																																																																							
2009	Klundert																																																																							
2010	Klundert																																																																							
2007	Koggenland	9613	453	9041	426	2516	1335	63	1064	50	231	198	18	14	1	1.5	10	10	2.3	1.6	1.6	0.8	2.7	6.3	0.7	6.9	0.3					1.5						1.4	5	13615	4443	718	2571	1979	474	82	42	3305	84.15	80.85	3.3	3.3	0	347																		
2008	Koggenland	9887	460	9358	435	2589	1410	66	1216	57	231	199	18	14	1	1.6	10.1	10	2.4			0.8	2.8	6.2	0.7	6.8	0.3	1.8	1.4	1.7	1.9	1.5	7.2	1	3.7	0.9	1.1	1.3	5	13622	4548	669	2602	1988	476	70	33	3236	84.15	80.85	3.3	3.3	0	367	312	464	33	181	7019	43	3.9	5.8	0.4	2.2	87.2	0.5	15	22	2	8	327	2
2009	Koggenland	10134	465	9591	440	2622	1456	67	1429	66	232	199	18	14	1	1.6		10	2.4	1.5	1.7	0.8	2.8	6.3	0.7	6.8	0.3	1.8	1.4	1.7	1.9	1.5	7.2	1	3.6			1.3	5	13857	4573	628	2730	2032	457	71	40	3327	84.15	80.61	3.53	3.53	0	372																		
2010	Koggenland	10414	474	9870	449	2634	1475	67	1560	71	234	202	18	14	1	1.6		10	2.4	1.5	1.7	0.8	2.8	6.3	0.7	6.8	0.3	1.7	1.5	1.7	1.9		7.2	1	3.7	0.9	1.1	1.3	5.1	13447	4234	581	2436	1990	515	70	40	3580	84.15	80.61	3.53	3.53	0	379	319	464	52	178	6976	46	4	5.8	0.6	2.2	86.8	0.6	15	21	2	8	318	2
2007	Kollumerland en Nieuwkruisland	5836	444	5724	436	1125	548	42	631	48	221	196	25	0	1.9	1.8	13.1	13.1	1	1.7	0.8	0.8	2.9	3.7	1.1	6.4	0.2					1.7						1.8	4.8	9754	2766	657	2315	996	236	63	20		116.33	109.89	6.44	6.44	0	334																		
2008	Kollumerland en Nieuwkruisland	5898	451	5798	443	1154	562	43	607	46	225	202	23	0	1.9	1.8	13.1	13.1	1			0.8	2.9	3.5	1.6	3.9	0.8	1.9	1.9	2.2	3	1.7	23.2	0	4.9	1.3	1.2	1.8	4.8	9977	2851	537	2309	1019	225	55	28	2953	116.33	109.89	6.44	6.44	0	335	226	384	73	112	8625	1554	2.1	3.5	0.7	1	78.6	14.2	17	29	6	9	659	119
2009	Kollumerland en Nieuwkruisland	6069	465	5977	458	1120	614	47	679	52	225	202	23	0	1.9	1.8		13.1	1	1.7	0.8	0.8	2.9	3.5	1.6	3.9	0.8	1.9	1.9	2.2	3.1	1.9	23.2	0	5.2			1.8	4.8	9193	2852	415	2312	944	233	52	17		116.33	109.81	6.52	6.52	0	338																		
2010	Kollumerland en Nieuwkruisland	6196	476	6105	469	1153	608	47	741	57	225	202	23	0	1.9	1.8		13.1	1	1.8	0.8	0.8	2.9	3.5	1.6	4	0.8	2	1.9	1.8	3.3		23.2	0	3.1	1.2	1.3	1.8	4.8	8481	2665	294	2076	958	223	62	19	2184	116.33	109.81	6.52	6.52	0	341	231	389	80	110	8594	1556	2.1	3.6	0.7	1	78.4	14.2	18	30	6	8	661	120
2007	Korendijk	5061	466	4858	448	813	472	44	513	47	180	176	3	0	1.4	1.1	10.4	23.2	0	2.4	0.4	0.8	1.9	7.3	0.3	7.9	0.3					8.1						3.6	22.8	7143	2803	354	1475	654	140	45	16	1656	100.48	77.89	22.59	22.59	0	281																		
2008	Korendijk	5163	472	4953	453	841	481	44	597	55	179	176	3	0	1.3	1.1	10.4	23.2	0			0.8	1.9	7.3	0.3	7.9	0.2	0.9	0.9	1.2	0.9	8.1	26.1	0	10	0.9	0.9	3.6	22.8	7131	2808	345	1512	672	142	40	17	1595	100.48	77.89	22.59	22.59	0	292	197	179	181	47	6522	601	2.5	2.3	2.3	0.6	84.4	7.8	18	16	17	4	596	55
2009	Korendijk	5242	480	5035	461	850	505	46	668	61	179	175	3	0	1.3	1.1		23.2	0	2.4	0.4	0.8	1.9	7.3	0.3	7.9	0.3	0.9	0.9	1.3	0.9	8.1	26.1	0	10			3.5	22.8	7100	2870	311	1596	628	159	42	16	1478	100.48	77.89	22.59	22.59	0	296																		
2010	Korendijk	5304	487	5099	468	851	508	47	699	64	179	175	3	0	1.3	1.1		23.2	0	2.4	0.4	0.8	1.9	7.3	0.3	7.9	0.3	0.9	1	1.3	0.9		26.1	0	10	0.9	0.8	3.5	22.8	6112	2602	353	1408	670	161	37	16	865	100.48	77.89	22.59	22.59	0	296	192	186	157	49	6455	599	2.5	2.4	2.1	0.6	84.5	7.8	18	17	14	5	593	55
2007	Krimpen aan den IJssel	12077	421	11112	387	1223	820	29	1325	46	115	112	3	0	1.5	1.9	5.7	5.7	14.1	0.9	4.6	0.6	11	1.4	4.8	1.6	2.4					1.6						1.1	7.3	23944	9868	1575		2941	590		64		8.93	7.81	1.12	1.12	0	1680																		
2008	Krimpen aan den IJssel	12344	429	11342	394	1258	857	30	1468	51	115	112	3	0	1.5	1.9	5.7	5.7	15.1			0.6	11	1.4	4.8	1.6	2.4	0.7	8	0.6	15.8	1.6	9.7	1.4	1.7	0.9	0.3	1	7.2	20855	9602	1205	276	1876	623		65	7157	8.93	7.81	1.12	1.12	0	1693	29	525	26	127	41	31	3.7	67.3	3.4	16.3	5.3	3.9	1	18	1	4	1	1
2009	Krimpen aan den IJssel	12459	431	11530	399	1274	916	32	1619	56	114	111	3	0	1.5	1.6		5.9	14.9	0.9	4.2	0.6	10.5	1.4	4.4	1.6	2.3	0.7	7.7	0.6	15.3	1.6	9.6	1.1	1.7			1	7.4	19993	9543	1010	260	1750	496		53		8.93	7.8	1.13	1.13	0	1716																		
2010	Krimpen aan den IJssel	12510	434	11625	403	1256	929	32	1758	61	114	111	3	0	1.6	1.6		5.9	14.8	0.8	5.2	0.6	10.5	1.4	4.4	1.6	2.3	0.7	7.6	0.6	15.2		9.6	1.1	1.7	0.9	0.3	1	7.4	21294	9598	1357		1798	561	36	75		8.93	7.8	1.13	1.13	0	1721	29	521	24	122	42	30	3.8	67.9	3.2	15.8	5.4	4	1	18	1	4	1	1
2007	Krimpenerwaard																																																																							
2008	Krimpenerwaard																																																																							
2009	Krimpenerwaard																																																																							
2010	Krimpenerwaard																																																																							
2007	Laarbeek	10349	476	9850	453	1962	1024	47	1874	86	279	262	18	0	1.1	1.7	6.3	6.3	5.1	1.1	1.9	0.7	4	2.6	1.8	6.2	0.5					1.1						1.6	8	12165	2800	1016	1436	2292	498	173	47	3904	56.17	55.37	0.8	0.8	0	550																		
2008	Laarbeek	10499	482	10011	460	2092	1046	48	1863	86	280	262	18	0	1.1	1.7	6.4	6.4	5.1			0.7	3.9	2.6	1.8	6.2	0.5	0.8	2.9	0.7	4.5	1.1	7.2	0.9	6.2	0.9	0.6	1.7	8.1	11699	2641	980	1403	2327	526	183	36	3603	56.17	55.37	0.8	0.8	0	549	164	742	41	86	3934	571	3	13.4	0.7	1.6	71	10.3	8	34	2	4	181	26
2009	Laarbeek	10640	490	10160	468	2118	1068	49	1954	90	282	265	18	0	1.1	1.8		6.4	5.1	0.9	2.3	0.7	3.9	2.6	1.8	6.2	0.5	0.8	2.5	0.7	5.1	1.1	7.2	0.9	6.2			1.7	8.1	11464	2400	916	1366	2108	516	173	41	3944	56.17	55.37	0.8	0.8	0	552																		
2010	Laarbeek	10732	497	10277	476	2076	1116	52	2063	96	282	265	18	0	1.1	1.8		6.4	5.1	0.7	3.6	0.7	3.9	2.6	1.8	6.2	0.5	0.8	2.5	0.7	5.3		7.2	0.9	6.2	0.8	0.6	1.7	8.1	11886	2438	916	1374	2051	508	163	44	4392	56.17	55.37	0.8	0.8	0	555	168	652	31	195	3922	570	3	11.8	0.6	3.5	70.8	10.3	8	30	1	9	182	26
2007	Landerd	7323	497	6817	462	1762	708	48	593	40	257	227	22	8	1.1	1	12.1	12.2	2.2	1.5	0.8	1	2.2	6.6	0.1	6.9	0.1					1.4						1.2	9.5	9633	3287	348	2336	1353	317	81	22	1889	70.68	70.37	0.32	0.32	0	398																		
2008	Landerd	7391	500	6944	469	1743	717	48	658	44	257	226	22	8	1.1	1	12.1	12.2	2.2			1	2.2	6.6	0.1	6.9	0.1	1.4	2.2	1.1	6.5	1.4	8.8	0.6	7.2	1.1	0.5	1.2	9.5	10000	3315	335	2312	1435	308	86	20	2189	70.68	70.37	0.32	0.32	0	404	217	433	45	151	4604	1586	3.1	6.2	0.6	2.1	65.4	22.5	15	29	3	10	311	107
2009	Landerd	7547	510	7141	482	1742	751	51	687	46	257	227	22	8	1.1	1		12.2	2.2	1.4	0.9	1	2.3	6.6	0.1	6.9	0.2	1.4	2.2	1.1	6.5	1.4	8.8	0.5	7.2			1.2	9.5	9779	3134	275	2308	1324	304	88	20	2326	70.68	70.36	0.32	0.32	0	410																		
2010	Landerd	7685	516	7269	488	1654	773	52	753	51	257	227	23	8	1.1	1		12.2	2.2	1.4	0.9	1	2.3	6.6	0.1	6.9	0.2	1.4	2.2	1.1	5.6		8.8	0.5	7.3	1.1	0.5	1.2	9.5	9562	3079	264	2225	1240	324	90	18	2322	70.68	70.36	0.32	0.32	0	418	219	431	43	152	4592	1597	3.1	6.1	0.6	2.2	65.3	22.7	15	29	3	10	308	107
2007	Landgraaf	18671	480	18316	471	1837	1529	39	1985	51	205	201	5	0	0.6	10	7.2	5.8	4	0.8	4.2	0.6	9.5	1.9	4.6	2.3	3.2					1						1.7	2.2	22172	9279	1115	4154	2775	742	213	50	3845	24.69	24.6	0.08	0.08	0	1326																		
2008	Landgraaf	18998	490	18627	481	1853	1566	40	2127	55	204	199	5	0	0.6	10	7.2	5.8	4			0.6	9.6	1.9	3.6	2.3	3.2	0.9	6.4	0.7	16.6	1	4.8	4	2	0.6	0.6	1.7	2	22549	9494	1120	4113	2974	771	229	46	3803	24.69	24.6	0.08	0.08	0	1309	99	890	137	234	765	335	4	36.2	5.6	9.5	31.1	13.6	3	23	4	6	20	9
2009	Landgraaf	19233	497	18851	487	1867	1576	41	2269	59	206	201	5	0	0.6	10.1		5.8	4	0.8	3.8	0.6	9.6	1.9	4.6	2.3	2.9	0.9	6.4	0.7	16.5	1	4.8	4	2			1.7	2	19982	7177	1044	3386	3212	891	219	48	4006	24.69	24.6	0.08	0.08	0	1331																		
2010	Landgraaf	19341	503	18949	493	1816	1592	41	2428	63	208	204	5	0	0.6	10.3		5.8	3.9	0.8	4.3	0.6	9.7	1.9	4.6	2.3	2.9	0.9	5.8	0.7	16.8		4.8	3	2	0.6	0.5	1.7	2	19084	7124	1041	2950	2978	854	233	45	3859	24.69	24.6	0.08	0.08	0	1323	97	885	128	248	746	356	3.9	36	5.2	10.1	30.3	14.5	3	23	3	6	19	9
2007	Landsmeer	4555	444	4363	425	623	452	44	498	49	55	55	0	0	0.8	5	3.8	3.8	9.7	0.8	5.1	0.6	7.7	3.8	1.9	5.5	0.2					3.4						1.8	8.1	6476	2700	330	1085	680	255	54	9		26.49	22.57	3.93	3.93	0	840																		
2008	Landsmeer	4563	449	4378	430	629	469	46	591	58	55	55	0	0	0.8	5	3.8	3.8	9.7			0.6	7.6	3.8	2	5.5	0.2	1	2.6	0.8	8.4	3.4	7	9.5	4.8	0.8	0.5	1.8	8	5849	2415	242	895	697	285	60	10		26.49	22.57	3.93	3.93	0	846	38	197	65	170	1445	340	1.7	8.7	2.9	7.5	64.1	15.1	4	19	6	17	142	33
2009	Landsmeer	4602	454	4408	435	633	496	49	720	71	55	55	0	0	0.8	5.1		3.8	9.7	0.8	4.2	0.6	7.4	3.8	1.9	5.5	0.2	1	2.6	0.8	10.2	1.1	7	9.5	4.8			1.8	8	6440	2526	374	1146	653	233	60	20	1428	26.49	22.55	3.94	3.94	0	846																		
2010	Landsmeer	4689	458	4517	441	591	512	50	878	86	55	55	0	0	0.8	6.1		3.8	9.7	0.8	5.2	0.6	7.5	3.8	2.8	5.5	0.2	1	2.7	0.9	10.2		7	10.4	4.8	0.8	0.4	1.8	8	6056	2394	332	840	724	254	44	17	1450	26.49	22.55	3.94	3.94	0	876	39	196	23	164	1518	313	1.7	8.7	1	7.3	67.4	13.9	4	19	2	16	148	31
2007	Langbroek																																																																							
2008	Langbroek																																																																							
2009	Langbroek																																																																							
2010	Langbroek																																																																							
2007	Langedijk	11328	437	10789	416	1972	1328	51	1336	52	171	158	13	0	0.8	6.8	8	9.9	1	1.1	3.3	0.7	7.6	1.9	2.8	1.9	1.9					1.4						1.4	3.9	16407	6886	924	3754	2574	912		37		26.99	24.06	2.93	2.93	0	812																		
2008	Langedijk	11633	447	11070	425	1982	1395	54	1440	55	179	166	13	0	0.9	5.5	8	9.7	1			0.7	7.6	2.2	2.9	2.2	2.1	0.8	5.2	0.8	8.5	2.3	4.9	2.3	2.3	0.8	0.8	1.4	3.9	16851	6561	845	3775	2800	904		35	1900	26.99	24.06	2.93	2.93	0	820	118	653	106	135	1257	134	4.9	27.2	4.4	5.6	52.3	5.6	5	25	4	5	48	5
2009	Langedijk	12148	452	11552	430	2027	1496	56	1624	60	179	166	13	0	0.9	5.4		9.6	1	1.1	3.5	0.7	7.6	2.3	3.5	2.3	2.1	0.8	5.3	0.8	8.3	2.3	4.9	2.3	2.4			1.4	3.9	13824	5823	803	2982	2097	447	16	28	1628	26.99	24.06	2.94	2.94	0	843																		
2010	Langedijk	12432	461	11837	439	1977	1529	57	1834	68	179	166	13	0	0.9	5.4		9.6	1	1	4.1	0.7	7.6	2.3	3.5	2.3	2.1	0.8	5.3	0.8	8.8		4.9	2.3	2.4	0.8	0.8	1.4	3.9	14363	5903	758	2769	2020	706	25	29	2153	26.99	24.06	2.94	2.94	0	844	120	655	131	129	1246	116	5	27.3	5.4	5.4	52	4.9	4	24	5	5	46	4
2007	Lansingerland	22086	461	20224	422	4059	1915	40	2335	49	297	265	27	4	0.8	7	7.7	7.7	16.8	1.2	5.7	0.7	9.9	3.7	1.5	3.5	1.7					1.4						1.1	6.7	26382	12948	1156	4702	3001	922		48	3437	56.39	54.49	1.9	1.9	0	945																		
2008	Lansingerland	23132	468	21198	429	4238	2031	41	2722	55	305	269	32	4	0.8	6.7	7.7	3.3	17.8			0.7	10.1	3.8	1.5	2	3.2	1	4.2	1	9.7	1.4	8.9	1.5	2.7	1.6	0.9	1.1	6.7	26203	13089	1202	4648	2615	970		81	3417	56.39	54.49	1.9	1.9	0	965	256	869	711	354	3093	142	4.7	16	13.1	6.5	57	2.6	5	18	14	7	63	3
