gemeente,gemeente,0
Graft-De Rijp,Midden-Delfland,0.999572065780222
Bergambacht,Midden-Delfland,0.9995718363900894
Kollumerland en Nieuwkruisland,Wymbritseradiel,0.9995712314963464
Korendijk,Schouwen-Duiveland,0.9995669232156097
Bernisse,Graft-De Rijp,0.9995645534537857
Giessenlanden,Margraten,0.9995592634331026
Kaag en Braassem,Midden-Delfland,0.999558565053624
Medemblik,Waterland,0.9995572671131268
Texel,Zeevang,0.9995559287065858
Oldambt,Oudewater,0.999555864927989
Wervershoof,Zoeterwoude,0.9995536228043628
Cromstrijen,Goedereede,0.9995531963713973
Emmen,Zaltbommel,0.9995501235326456
Boarnsterhim,De Marne,0.9995471278405377
Strijen,Zeevang,0.9995466891558227
Bergambacht,Zwartewaterland,0.9995448706339927
Haarlemmerliede en Spaarnwoude,Wervershoof,0.999544808107349
Emmen,Woensdrecht,0.9995407366284743
Rijnwaarden,Wieringen,0.9995399189007131
Loppersum,Weststellingwerf,0.9995395794152877
Loenen,Losser,0.9995376757184717
Graft-De Rijp,Zwartewaterland,0.9995372521687271
Koggenland,Zwartewaterland,0.9995371873601622
Cromstrijen,Koggenland,0.9995364686290586
Borger-Odoorn,Ooststellingwerf,0.9995364619560574
Cromstrijen,Midden-Delfland,0.999533852252098
Borger-Odoorn,Slochteren,0.9995336514030869
Kollumerland en Nieuwkruisland,Korendijk,0.9995332714831786
Andijk,Koggenland,0.9995248676561448
Oldambt,Tytsjerksteradiel,0.9995243578012517
Hulst,Westerveld,0.9995232398641062
Noord-Beveland,Winsum,0.999523086157553
Bernisse,Zijpe,0.9995153635664134
Aalburg,Ouderkerk,0.9995144492564024
Dongeradeel,Schermer,0.9995142009862337
Opsterland,Steenbergen,0.999512946328832
Medemblik,Zoeterwoude,0.9995073868668584
Niedorp,Tytsjerksteradiel,0.99950297219539
Aalten,Haaksbergen,0.999500032753603
Boarnsterhim,Zeewolde,0.9994988313415528
Loenen,Werkendam,0.9994986149498704
Beemster,Noord-Beveland,0.9994980372763985
Bergambacht,Kaag en Braassem,0.9994979785213343
Waterland,Zoeterwoude,0.9994931692502002
Eemsmond,Weststellingwerf,0.9994930098785587
Ubbergen,Wieringen,0.9994886835334338
Eemnes,Wervershoof,0.9994884262971893
Midden-Delfland,Wervershoof,0.9994848576144233
Aalten,Lingewaal,0.9994823964404569
Borsele,Schermer,0.9994815249945886
Texel,Zijpe,0.9994801773152807
Dirksland,Korendijk,0.9994791653453136
Littenseradiel,Westerveld,0.9994780560659986
Coevorden,Staphorst,0.9994777894330361
Heiloo,Schagen,0.9994770066568791
Korendijk,Wymbritseradiel,0.9994743345682812
Schermer,Staphorst,0.9994717328129965
Aalburg,Waterland,0.9994714084500969
Nieuwkoop,Ubbergen,0.9994706426038031
Cromstrijen,Eemnes,0.9994704139343477
Borsele,Coevorden,0.999469796776845
Bergambacht,Brummen,0.9994692588551509
Breukelen,Cromstrijen,0.9994685169461552
Cromstrijen,Waterland,0.9994682674856276
Noord-Beveland,Wymbritseradiel,0.999467900397037
Nuth,Valkenburg aan de Geul,0.9994641023630803
Bedum,Dantumadiel,0.9994639634872955
Ubbergen,Voerendaal,0.9994625187355605
Ouderkerk,Wervershoof,0.9994621273767137
Menaldumadeel,Steenwijkerland,0.9994613186399385
Kollumerland en Nieuwkruisland,Lemsterland,0.9994582105305999
De Marne,Zeewolde,0.9994563584401505
Kaag en Braassem,Wervershoof,0.9994562764993543
Hulst,Zuidhorn,0.9994552101038027
Boarnsterhim,Lemsterland,0.999450282898901
Noord-Beveland,Zijpe,0.9994494750568739
Schouwen-Duiveland,Zuidhorn,0.9994480711709443
Eijsden,Schinnen,0.9994480662222004
Strijen,Zwartewaterland,0.9994474117086191
Bedum,Veere,0.999444822203712
Dongeradeel,Wieringermeer,0.9994425780889434
Borger-Odoorn,Menterwolde,0.9994417621242707
Giessenlanden,Kollumerland en Nieuwkruisland,0.999439673519472
Medemblik,Ubbergen,0.9994359254278958
Ommen,Raalte,0.999434827560939
Dongeradeel,Staphorst,0.9994347728338131
Andijk,Cromstrijen,0.9994320241863889
Andijk,Graft-De Rijp,0.9994310316348857
Haren,Landsmeer,0.9994285160682607
Midden-Delfland,Rijnwaarden,0.9994283569569812
Oostflakkee,Wymbritseradiel,0.9994255831664198
Bernisse,Waterland,0.9994254749946897
Breukelen,Koggenland,0.999424524388945
Cromstrijen,Wervershoof,0.9994240733354904
Kaag en Braassem,Rijnwaarden,0.9994235708561447
Neerijnen,Veere,0.9994223302511717
Breukelen,Reeuwijk,0.9994221662403194
Loppersum,Opsterland,0.9994211745120493
Scherpenzeel,Weert,0.9994209703842307
Korendijk,Noord-Beveland,0.9994208544062126
Aalburg,Andijk,0.9994199802827031
Aalburg,Zwartewaterland,0.9994179209374505
Andijk,Waterland,0.999415746101906
Reeuwijk,Ubbergen,0.9994152713388067
Kaag en Braassem,Wieringen,0.9994130692910713
Giessenlanden,Zuidhorn,0.9994088735765179
Middelharnis,Werkendam,0.9994086081812494
Bernisse,Zeevang,0.9994082841047769
Abcoude,Loenen,0.999407523670257
Medemblik,Reeuwijk,0.9994071941333579
Eemnes,Medemblik,0.9994037550030263
Gulpen-Wittem,Lemsterland,0.9994033758750743
Kaag en Braassem,Ubbergen,0.9994014548507276
Steenbergen,Weststellingwerf,0.9993981704017791
Ouderkerk,Reeuwijk,0.9993938042338478
Eemsmond,Opsterland,0.9993931788661043
Boarnsterhim,Tholen,0.9993911792509833
Grootegast,Ooststellingwerf,0.9993898111032093
Coevorden,Sluis,0.9993890428811122
Breukelen,Wervershoof,0.9993878524464641
Koggenland,Strijen,0.9993873823146074
Bernisse,Zwartewaterland,0.9993866171852113
Andijk,Bergambacht,0.9993865756003103
Zeewolde,Zuidhorn,0.9993858947892216
Dirksland,Schouwen-Duiveland,0.9993844456168715
Dirksland,Winsum,0.9993808382861861
Medemblik,Wormerland,0.999379597409655
Lopik,Steenbergen,0.9993735846930938
Niedorp,Vlist,0.999373053179742
Geldermalsen,Opmeer,0.9993703173414225
Cromstrijen,Zoeterwoude,0.9993688590372621
Haarlemmerliede en Spaarnwoude,Midden-Delfland,0.9993649575509276
De Marne,Westerveld,0.999364458097167
Brummen,Medemblik,0.999363844807202
Ouderkerk,Zwartewaterland,0.9993621145898895
Dongeradeel,Menaldumadeel,0.9993611298677831
Rijnwaarden,Wervershoof,0.9993611101940535
Tholen,Westerveld,0.9993590151367091
Gulpen-Wittem,Zuidhorn,0.9993564136790619
Lemsterland,Schouwen-Duiveland,0.9993559124018097
Noord-Beveland,Texel,0.999353706072263
De Marne,Kollumerland en Nieuwkruisland,0.9993531492135687
Kampen,Losser,0.9993529006404916
Bernisse,Goedereede,0.9993518156168708
Harenkarspel,Menaldumadeel,0.9993502060290761
Bergambacht,Medemblik,0.9993497406736654
Aalburg,Goedereede,0.9993494212648957
Koggenland,Midden-Delfland,0.9993493312858872
Dongeradeel,Lopik,0.9993490682104834
Bergambacht,Goedereede,0.9993474966382493
Goedereede,Graft-De Rijp,0.9993447293410262
Giessenlanden,Oostflakkee,0.9993436067816684
Noord-Beveland,Zeevang,0.9993401871196632
Reeuwijk,Zoeterwoude,0.9993382997847764
Dantumadiel,Veere,0.9993381612319598
Goedereede,Medemblik,0.9993351740742077
Dirksland,Kollumerland en Nieuwkruisland,0.9993340841242593
Hof van Twente,Lith,0.9993336134209163
Cromstrijen,Medemblik,0.9993330172035934
Goedereede,Koggenland,0.999332015973796
Margraten,Schouwen-Duiveland,0.9993304012071691
Borsele,Dongeradeel,0.9993288180460356
Aalburg,Cromstrijen,0.9993263411429146
Kapelle,Woensdrecht,0.9993253801309959
Anna Paulowna,Borsele,0.9993253190551863
Eemnes,Graft-De Rijp,0.9993250730442458
Lopik,Zederik,0.999324904741911
Niedorp,Opsterland,0.9993239881196916
Bergeijk,Heeze-Leende,0.9993236994413102
Abcoude,Werkendam,0.9993234459034326
Eemsmond,Wieringermeer,0.999322139905453
Oostflakkee,Zuidhorn,0.9993178592023944
Medemblik,Nieuwkoop,0.9993171960852321
Bernisse,Ouderkerk,0.9993167357012465
Bergambacht,Eemnes,0.9993166731795654
Kaag en Braassem,Waterland,0.9993158206552423
Coevorden,Menaldumadeel,0.9993111933368806
Kampen,Werkendam,0.9993102077947921
Goedereede,Midden-Delfland,0.9993087534678766
Lopik,Voorst,0.9993085853737028
Dongeradeel,Noordoostpolder,0.9993082973604687
Kampen,Middelharnis,0.9993081985984421
Losser,Middelharnis,0.9993077193579742
Eemnes,Kaag en Braassem,0.9993044293991752
Ouderkerk,Pekela,0.9993041178221109
Breukelen,Rijnwaarden,0.9993028654543734
Menaldumadeel,Staphorst,0.9993027121443457
Gulpen-Wittem,Oostflakkee,0.9993015638170154
Eemnes,Waterland,0.999300969745404
Reeuwijk,Voerendaal,0.9993007086014298
Giessenlanden,Graafstroom,0.9993000141425769
Giessenlanden,Losser,0.99929878975818
Opsterland,Vlagtwedde,0.9992984178100334
Graafstroom,Schouwen-Duiveland,0.9992979289914674
Aalburg,Breukelen,0.9992956893239151
Hellendoorn,Montferland,0.9992955545091624
Breukelen,Haarlemmerliede en Spaarnwoude,0.999295481782257
Midden-Delfland,Wieringen,0.9992954481475153
Drimmelen,Moerdijk,0.9992951565701512
Cromstrijen,Terneuzen,0.9992940150226515
Brummen,Graft-De Rijp,0.9992928573479928
Bergambacht,Pekela,0.999291846302892
Graft-De Rijp,Medemblik,0.9992875464070401
Steenbergen,Vlist,0.9992870281204546
Beemster,Strijen,0.9992861682082227
Dirksland,Graafstroom,0.9992849431586949
Koggenland,Zoeterwoude,0.9992824593792254
Brummen,Cromstrijen,0.9992794901910079
Haarlemmerliede en Spaarnwoude,Kaag en Braassem,0.9992782460364821
Gulpen-Wittem,Hulst,0.9992771907741297
Koggenland,Zeevang,0.9992762113412834
Noordenveld,Tytsjerksteradiel,0.9992761605489804
Strijen,Texel,0.9992736504126765
Midden-Delfland,Reeuwijk,0.9992732929220333
Graft-De Rijp,Kaag en Braassem,0.9992727585100668
Gulpen-Wittem,Losser,0.9992723985784975
Graafstroom,Noord-Beveland,0.9992703698181905
Lopik,Noordoostpolder,0.999268285469757
Oudewater,Tytsjerksteradiel,0.9992681440363469
Cromstrijen,Kaag en Braassem,0.9992663179220362
Goedereede,Waterland,0.9992661784371033
Noordenveld,Oldambt,0.9992639425861433
Ten Boer,Zeewolde,0.9992634699842535
Gulpen-Wittem,Kollumerland en Nieuwkruisland,0.9992598552228642
Koggenland,Zijpe,0.9992586225792808
Wieringen,Zoeterwoude,0.999258601284242
Aa en Hunze,Tytsjerksteradiel,0.9992569834477336
Aalburg,Kaag en Braassem,0.9992562242624186
Midden-Delfland,Wormerland,0.9992559297019931
Midden-Delfland,Pekela,0.9992529128708035
Hulst,Zeewolde,0.9992522625219704
Lemsterland,Westerveld,0.999246912427716
Schouwen-Duiveland,Winsum,0.9992455382666302
Lemsterland,Oostflakkee,0.9992440114349549
Reimerswaal,Veere,0.9992430956602362
Nieuwkoop,Wieringen,0.9992413448624956
Goedereede,Pekela,0.9992403862389285
Lemsterland,Losser,0.9992403550079441
Ameland,Noord-Beveland,0.9992384432300981
Breukelen,Pekela,0.999237981464591
Graft-De Rijp,Pekela,0.999237048881948
Aalburg,Brummen,0.9992337044451837
Breukelen,Wieringen,0.9992314932735811
Boarnsterhim,Kollumerland en Nieuwkruisland,0.9992310820212091
Noordenveld,Reimerswaal,0.9992283942011949
Staphorst,Steenwijkerland,0.9992278976564293
Graafstroom,Lemsterland,0.999227560608983
Reeuwijk,Rijnwaarden,0.9992267022958627
Kaag en Braassem,Voerendaal,0.9992266444952855
Steenbergen,Tynaarlo,0.9992261352665244
Vlagtwedde,Weststellingwerf,0.9992260234828613
Groesbeek,Loon op Zand,0.9992252199348246
Kaag en Braassem,Koggenland,0.9992245104082662
Aalburg,Zijpe,0.9992243937130909
Aalburg,Zeevang,0.9992216286267995
Brummen,Nieuwkoop,0.9992208166554234
Boarnsterhim,Gulpen-Wittem,0.9992200327232104
Steenbergen,Zederik,0.9992167770094459
Cromstrijen,Rijnwaarden,0.999215771610445
Westerveld,Zeewolde,0.9992118689130894
Abcoude,Opmeer,0.9992108206742237
Noordenveld,Oudewater,0.9992073861913399
Tholen,Zuidhorn,0.9992071107657591
Ouderkerk,Wieringen,0.9992062285368325
Borsele,Staphorst,0.9992041287356226
Loppersum,Niedorp,0.9992036432129133
Menaldumadeel,Schermer,0.9992034329754865
Montfoort,Reeuwijk,0.999202379106214
Niedorp,Vlagtwedde,0.9992010375240766
Geldermalsen,Loenen,0.9992008959442823
De Marne,Oostflakkee,0.9992005538663097
Goedereede,Ouderkerk,0.999199264089357
Korendijk,Margraten,0.9991990207290495
Boarnsterhim,Giessenlanden,0.9991987540179503
Giessenlanden,Westerveld,0.9991984295632583
Nederlek,Westvoorne,0.9991982320434643
Koggenland,Liesveld,0.9991939548982471
Coevorden,Steenwijkerland,0.9991902790346048
Gulpen-Wittem,Westerveld,0.9991875675514369
Cromstrijen,Zwartewaterland,0.9991845711902295
Buren,Niedorp,0.9991840727112562
Losser,Werkendam,0.9991840258459685
Breukelen,Goedereede,0.9991840201373436
Ouderkerk,Rijnwaarden,0.9991838747263062
Aalburg,Strijen,0.9991811618568793
Breukelen,Zwartewaterland,0.9991796967451732
Wieringen,Wormerland,0.9991794313869603
Loppersum,Vlist,0.9991788403548353
Borsele,Steenwijkerland,0.9991779150814336
Koggenland,Pekela,0.9991775810515072
Nieuwkoop,Rijnwaarden,0.9991759183121751
Vlagtwedde,Vlist,0.9991753740755619
Grootegast,Slochteren,0.999174232542069
Reeuwijk,Wieringen,0.999173460952479
Ameland,Strijen,0.9991723857249765
Brummen,Waterland,0.9991720036724516
Haarlemmerliede en Spaarnwoude,Zoeterwoude,0.9991660980982596
Bergambacht,Reeuwijk,0.9991653818612517
Aalburg,Midden-Delfland,0.9991632372856533
Brummen,Koggenland,0.9991621507927837
Bernisse,Pekela,0.9991602364187819
De Marne,Schouwen-Duiveland,0.9991593516738665
Cromstrijen,Strijen,0.9991585702916902
Boarnsterhim,Schouwen-Duiveland,0.9991584678770643
Graft-De Rijp,Strijen,0.9991581504880379
Boarnsterhim,Ten Boer,0.9991579016338024
Graafstroom,Zuidhorn,0.9991562743941432
Brummen,Wervershoof,0.9991527955895277
Bergambacht,Strijen,0.9991509585310739
Bladel,Oirschot,0.9991505186837847
Gulpen-Wittem,Werkendam,0.9991500188888142
Haarlemmerliede en Spaarnwoude,Wormerland,0.999149743492328
Anna Paulowna,Boarnsterhim,0.9991476786785467
Eemnes,Pekela,0.9991467972666281
Bronckhorst,Buren,0.9991426528661438
Schermer,Wieringermeer,0.999140972380564
Sluis,Staphorst,0.9991404212836579
Bernisse,Liesveld,0.9991389930574349
Ten Boer,Zuidhorn,0.9991382676463534
Noord-Beveland,Strijen,0.9991380482552696
Buren,Vlist,0.9991358769363914
Opsterland,Zederik,0.999135618346587
Brummen,Zwartewaterland,0.9991342147585885
Rijnwaarden,Zoeterwoude,0.9991335938416113
Koggenland,Medemblik,0.9991324570319361
Koggenland,Terneuzen,0.999131497706326
Margraten,Terneuzen,0.9991313797247856
De Wolden,Nijefurd,0.999129991996866
Gulpen-Wittem,Loenen,0.9991299230330002
Dantumadiel,Noordenveld,0.9991292674098836
Bronckhorst,Vlagtwedde,0.9991291623885658
Pekela,Wervershoof,0.9991290713611485
Haarlemmerliede en Spaarnwoude,Reeuwijk,0.9991281511779072
Ferwerderadiel,Leeuwarderadeel,0.9991260217792648
Hulst,Littenseradiel,0.9991243702797533
Margraten,Middelharnis,0.9991228944487152
Hulst,Schouwen-Duiveland,0.9991227307686638
Giessenlanden,Korendijk,0.9991217345912253
Haarlemmerliede en Spaarnwoude,Ouderkerk,0.9991212477229009
Dirksland,Wymbritseradiel,0.9991206939991193
Waterland,Zwartewaterland,0.9991199912183567
Eijsden,Onderbanken,0.9991195258336119
Eemnes,Haarlemmerliede en Spaarnwoude,0.9991187364966395
Andijk,Zijpe,0.9991183482649952
Oldambt,Reimerswaal,0.9991183158067891
Reeuwijk,Wervershoof,0.9991172360011302
Niedorp,Weststellingwerf,0.999117009738425
Liesveld,Zeevang,0.9991146803078028
Schouwen-Duiveland,Westerveld,0.9991146379778751
Gulpen-Wittem,Tholen,0.999111088202061
Goedereede,Haarlemmerliede en Spaarnwoude,0.999109534495893
Andijk,Rijnwaarden,0.999108869137799
Medemblik,Pekela,0.9991086010727377
Brummen,Pekela,0.99910601615412
Ubbergen,Wervershoof,0.9991058292600211
Voerendaal,Wieringen,0.9991051009238896
Binnenmaas,Goes,0.9991023428823832
Kampen,Loenen,0.999099989700502
Pekela,Waterland,0.999099828696947
Breukelen,Wormerland,0.9990992646320612
Brummen,Rijnwaarden,0.9990973245642172
Korendijk,Terneuzen,0.9990956563128689
Kaag en Braassem,Pekela,0.9990955207261686
Goedereede,Kaag en Braassem,0.9990950143150101
De Marne,Hulst,0.9990910056092961
Dongeradeel,Steenwijkerland,0.9990907375386914
Zoeterwoude,Zwartewaterland,0.9990862693710625
Andijk,Terneuzen,0.9990846803597845
Abcoude,Geldermalsen,0.9990842500799486
Liesveld,Zijpe,0.9990829971372086
Pekela,Zoeterwoude,0.9990823099961627
Anna Paulowna,Sluis,0.9990818038989849
Zeevang,Zwartewaterland,0.9990817540071956
Opsterland,Tynaarlo,0.9990802284243177
Noordoostpolder,Weststellingwerf,0.9990801023696949
Andijk,Ouderkerk,0.9990787169131796
Bunschoten,Woerden,0.9990746828409809
Graft-De Rijp,Rijnwaarden,0.9990742750684855
Bergambacht,Wervershoof,0.9990736242728789
Franekeradeel,West Maas en Waal,0.9990730383950126
Voorst,Winterswijk,0.9990702246064541
Meppel,Woerden,0.9990677013760201
Waterland,Wervershoof,0.9990640301494911
Menaldumadeel,Opmeer,0.9990624204204755
Bernisse,Breukelen,0.9990620494183885
Rijnwaarden,Voerendaal,0.9990606300596571
Eemnes,Reeuwijk,0.9990597159270654
Midden-Delfland,Zwartewaterland,0.9990596848863883
Geldermalsen,Werkendam,0.9990596681145689
Nieuwkoop,Wervershoof,0.9990592572308156
Haarlemmerliede en Spaarnwoude,Nieuwkoop,0.9990589719037793
Gulpen-Wittem,Middelharnis,0.9990561136494096
Lemsterland,Winsum,0.9990554445496092
Graft-De Rijp,Wervershoof,0.9990540894900556
Leeuwarderadeel,Stadskanaal,0.9990536981278527
Andijk,Pekela,0.9990512585952137
Strijen,Terneuzen,0.9990499843135557
Buren,Opsterland,0.9990487047469787
Dantumadiel,Neerijnen,0.9990460143722494
Rijnwaarden,Waterland,0.9990458014087107
Haaksbergen,Montferland,0.9990427106322567
Bergambacht,Rijnwaarden,0.999042067039582
Aalburg,Pekela,0.9990409217209029
Beemster,Winsum,0.9990399390629218
Noordwijkerhout,Ouder-Amstel,0.9990383251650875
Raalte,Wierden,0.9990371181946314
Moerdijk,Veere,0.9990363501453874
Goedereede,Ubbergen,0.9990361497395778
Kollumerland en Nieuwkruisland,Westerveld,0.9990352613095899
Noord-Beveland,Oostflakkee,0.9990318599912387
Breukelen,Nieuwkoop,0.9990312041165822
Bergambacht,Liesveld,0.9990311377091599
Pekela,Rijnwaarden,0.999029563608993
Albrandswaard,Langedijk,0.9990292005939932
Anna Paulowna,Coevorden,0.9990284554706841
Aalburg,Zoeterwoude,0.9990261185007626
Coevorden,Schermer,0.9990243878797233
Haarlemmerliede en Spaarnwoude,Voerendaal,0.9990241973077835
Voerendaal,Wervershoof,0.9990236708351423
Andijk,Medemblik,0.999020845307096
Eemnes,Wieringen,0.9990207572604074
Bedum,Ooststellingwerf,0.999018041573872
Margraten,Oostflakkee,0.9990163686147657
Gulpen-Wittem,Korendijk,0.9990161360186285
Bergambacht,Terneuzen,0.9990160578976967
Tholen,Zeewolde,0.9990158554969417
Noordoostpolder,Opsterland,0.9990146014588012
Wervershoof,Wormerland,0.9990110136485887
Aalburg,Reeuwijk,0.999008220041946
Zijpe,Zwartewaterland,0.9990069651172367
Winsum,Zeevang,0.9990061369985612
Abcoude,Losser,0.9990046110709637
Eemnes,Wormerland,0.9990032576733219
Bernisse,Midden-Delfland,0.9990010883981943
Anna Paulowna,Menaldumadeel,0.9989983702757333
Grootegast,Lochem,0.9989982326138552
Anna Paulowna,Opmeer,0.998998070495276
Eemsmond,Vlist,0.9989979421286245
Drechterland,Rijnwoude,0.9989966842568653
Reimerswaal,Tytsjerksteradiel,0.9989949820640448
Nieuwkoop,Ouderkerk,0.9989948610168644
Losser,Margraten,0.9989932207751341
Eemsmond,Loppersum,0.9989930679175898
Giessenlanden,Winsum,0.9989925058752681
Noordoostpolder,Zederik,0.9989923876585697
Alphen-Chaam,Lith,0.9989893513056318
Terneuzen,Waterland,0.9989883597725716
Nieuwkoop,Zoeterwoude,0.9989879445382167
Andijk,Midden-Delfland,0.9989868543704232
Dinkelland,Winterswijk,0.998984505814651
Eemnes,Zwartewaterland,0.9989822423549308
Eemnes,Koggenland,0.9989821013106398
Korendijk,Zijpe,0.9989814289185276
Anna Paulowna,Westerveld,0.9989781605731359
Weststellingwerf,Zederik,0.9989763114488418
Andijk,Zeevang,0.998970120730433
Hardinxveld-Giessendam,Stede Broec,0.9989694410473797
Moerdijk,Woudrichem,0.9989690593927044
Waterland,Wieringen,0.9989679681400377
Graft-De Rijp,Terneuzen,0.9989679349984545
