gemeente,gemeente,0
Midden-Delfland,Rijnwaarden,0.9996233234353382
Bernisse,Strijen,0.9996192284496674
Brummen,Ouderkerk,0.999611318726108
Cromstrijen,Graft-De Rijp,0.999611305033873
Boarnsterhim,De Marne,0.9996064189631174
Dongeradeel,Schermer,0.9996056454575808
Emmen,Woensdrecht,0.9996034980383868
Midden-Delfland,Waterland,0.9996025505335591
Eemnes,Midden-Delfland,0.999601154222721
Koggenland,Pekela,0.9996005517837537
Ubbergen,Voerendaal,0.99959975844479
Gulpen-Wittem,Tholen,0.9995994025453938
Bedum,Dongeradeel,0.9995962055157369
Graft-De Rijp,Zwartewaterland,0.9995939694246155
Bergambacht,Kaag en Braassem,0.999593630731142
Koggenland,Zwartewaterland,0.9995908266764548
Brummen,Midden-Delfland,0.9995880608988048
Schouwen-Duiveland,Winsum,0.9995816228032867
Eemsmond,Slochteren,0.9995770601790411
Goedereede,Rijnwaarden,0.9995760887564034
Kollumerland en Nieuwkruisland,Tholen,0.9995760644961994
Kaag en Braassem,Midden-Delfland,0.9995724714321335
Ouderkerk,Waterland,0.9995690817046274
Giessenlanden,Lemsterland,0.999562512809771
Menameradiel,Opsterland,0.999562102191327
Noordenveld,Veere,0.9995549593097424
Bergambacht,Brummen,0.9995531758987125
Noord-Beveland,Texel,0.9995525521275025
Bernisse,Graft-De Rijp,0.9995523152458007
Brummen,Eemnes,0.9995486789090872
Medemblik,Waterland,0.9995464456750254
Gulpen-Wittem,Terneuzen,0.9995451360511494
Strijen,Zeevang,0.9995426950431934
Leeuwarderadeel,Stadskanaal,0.9995420324917639
Aalburg,Bernisse,0.9995409078974232
Littenseradiel,Schermer,0.9995383993691068
Borsele,Sluis,0.9995360782547277
Bergambacht,Cromstrijen,0.9995331681259243
Aa en Hunze,Vlagtwedde,0.9995329917458182
Kaag en Braassem,Rijnwaarden,0.9995319358856478
Bedum,Opsterland,0.9995306584468443
Lochem,Noordenveld,0.9995277574616248
Giessenlanden,Tholen,0.9995246475961694
Cromstrijen,Middelharnis,0.9995228048080574
De Marne,Graafstroom,0.9995213017165149
Moerdijk,Noordenveld,0.9995212473320102
Menterwolde,Slochteren,0.9995176390810427
Bedum,Steenbergen,0.9995169864868183
Texel,Zijpe,0.9995118138793424
Tytsjerksteradiel,Veere,0.9995096945551788
Graft-De Rijp,Midden-Delfland,0.9995066958936311
Geldermalsen,Opmeer,0.9995007383722405
Oostflakkee,Westerveld,0.9995002019343622
Noordenveld,Oudewater,0.9994977741030668
Midden-Delfland,Wormerland,0.9994962716474787
Goedereede,Koggenland,0.9994918374696857
Graft-De Rijp,Pekela,0.9994916835483477
Bernisse,Zijpe,0.9994901158188991
Texel,Zeevang,0.999485711519568
Bergambacht,Pekela,0.9994841688301042
Rijnwaarden,Ubbergen,0.9994821313733212
Dongeradeel,Menameradiel,0.9994804888581461
Westerveld,Winsum,0.9994787871418432
Boarnsterhim,Schouwen-Duiveland,0.9994784495155042
Borsele,Hollands Kroon,0.999476103735522
Cromstrijen,Waterland,0.999472523686789
Schouwen-Duiveland,Terneuzen,0.9994710314158028
Hollands Kroon,Littenseradiel,0.999470052410452
Nieuwkoop,Voerendaal,0.9994687524854933
De Marne,Westerveld,0.99946808154435
Haarlemmerliede en Spaarnwoude,Ubbergen,0.999467608164049
Gulpen-Wittem,Oostflakkee,0.9994673440361977
Goedereede,Pekela,0.9994673383373778
Bernisse,Goedereede,0.9994673037079822
Bernisse,Zeevang,0.9994666464152105
Staphorst,Weststellingwerf,0.9994645065290075
Beemster,Korendijk,0.9994645035535497
Kaag en Braassem,Ubbergen,0.999464397568799
Mill en Sint Hubert,Oirschot,0.9994632668491915
Moerdijk,Oudewater,0.9994573345424785
Ameland,Korendijk,0.9994572621340378
Schouwen-Duiveland,Westerveld,0.9994566809340037
Bergambacht,Medemblik,0.9994558366255872
Oostflakkee,Zuidhorn,0.9994553714995742
Bernisse,Korendijk,0.9994526167224893
Aalburg,Zwartewaterland,0.9994521016538382
Haarlemmerliede en Spaarnwoude,Medemblik,0.9994512025555982
Meppel,Woerden,0.9994505846607928
Giessenlanden,Kollumerland en Nieuwkruisland,0.9994503033740104
Drechterland,Kapelle,0.9994485577366846
Menterwolde,Vlagtwedde,0.9994476622391617
Goedereede,Graft-De Rijp,0.9994458246184816
Bernisse,Pekela,0.9994397156128999
Noordoostpolder,Staphorst,0.9994397080234958
Graafstroom,Schouwen-Duiveland,0.9994365680376168
Kollumerland en Nieuwkruisland,Westerveld,0.9994354307949663
Bergambacht,Rijnwaarden,0.9994319813354762
Aalburg,Goedereede,0.9994283197009309
De Marne,Winsum,0.9994276334489574
Noordoostpolder,Steenbergen,0.9994262889347462
Ameland,Noord-Beveland,0.9994231470930707
Dirksland,Schouwen-Duiveland,0.9994229870101016
Littenseradiel,Sluis,0.9994197819835428
Cromstrijen,Midden-Delfland,0.9994189484050681
Loppersum,Slochteren,0.9994170013289931
Tholen,Zuidhorn,0.9994164092348296
Kaag en Braassem,Voerendaal,0.9994162352380613
Aalburg,Pekela,0.9994143369993878
Cromstrijen,Rijnwaarden,0.9994136294438773
Aalburg,Cromstrijen,0.9994124498119005
Eemnes,Medemblik,0.9994074391579951
Hollands Kroon,Hulst,0.9994015219994279
Kollumerland en Nieuwkruisland,Lemsterland,0.9994000719069438
Eemsmond,Vlagtwedde,0.9993949210053628
Koggenland,Midden-Delfland,0.9993931617599883
Nuth,Valkenburg aan de Geul,0.9993927074449298
Aalburg,Waterland,0.9993925279803225
Medemblik,Ubbergen,0.999392398918161
Noord-Beveland,Zeevang,0.9993878896419496
Giessenlanden,Oostflakkee,0.9993875464736793
Opsterland,Schermer,0.9993866187481384
Bergambacht,Goedereede,0.9993857207692114
Gulpen-Wittem,Hulst,0.9993849243092511
Medemblik,Wormerland,0.9993840211784055
Eemnes,Waterland,0.9993830140008246
Boarnsterhim,Oostflakkee,0.9993827122280221
Bedum,Steenwijkerland,0.999380800281462
Ouderkerk,Rijnwaarden,0.9993803302183493
Gulpen-Wittem,Kollumerland en Nieuwkruisland,0.9993784753370973
Borsele,Schermer,0.9993773436990496
Kaag en Braassem,Nieuwkoop,0.9993769017913219
Bedum,Menameradiel,0.9993766043796857
Geldermalsen,Harenkarspel,0.9993711407129768
Middelharnis,Pekela,0.9993702719617998
Dongeradeel,Noordoostpolder,0.9993679738094147
Brummen,Rijnwaarden,0.9993663440434691
Lemsterland,Westerveld,0.9993661738009811
Brummen,Middelharnis,0.9993659451745597
Delfzijl,Leeuwarderadeel,0.9993650385588957
Heiloo,Schagen,0.9993638188344866
Strijen,Zwartewaterland,0.9993638091000442
Dongeradeel,Sluis,0.999362651331407
Bergambacht,Zwartewaterland,0.9993586375289223
Goedereede,Waterland,0.9993559415518249
Brummen,Medemblik,0.999355201724192
Korendijk,Texel,0.9993547928443998
Graft-De Rijp,Ouderkerk,0.9993543861288566
Haarlemmerliede en Spaarnwoude,Rijnwaarden,0.9993537217335099
Beemster,Strijen,0.9993531734104216
Brummen,Koggenland,0.999352380179831
Brummen,Graft-De Rijp,0.9993473504160673
Graft-De Rijp,Rijnwaarden,0.999346367115044
Bodegraven-Reeuwijk,De Ronde Venen,0.9993452652124504
Buren,Oldambt,0.9993413786962003
Rijnwaarden,Waterland,0.9993412386160719
Graafstroom,Oostflakkee,0.9993391815048155
Opsterland,Steenwijkerland,0.9993378956398992
Boarnsterhim,Ten Boer,0.9993373881316315
Boarnsterhim,Kollumerland en Nieuwkruisland,0.9993357072513798
Kaag en Braassem,Waterland,0.999332623741042
Koggenland,Strijen,0.999331704984149
Pekela,Rijnwaarden,0.9993314128156497
Achtkarspelen,Franekeradeel,0.9993313903849368
Boarnsterhim,Lemsterland,0.9993297086543292
Bernisse,Zwartewaterland,0.9993288198703212
Voorst,Winterswijk,0.9993258221886608
Bergambacht,Bernisse,0.9993237582598288
Aalburg,Middelharnis,0.9993233459626435
Koggenland,Middelharnis,0.9993227475633794
Noord-Beveland,Strijen,0.9993224129732341
Strijen,Texel,0.9993191582743786
Aa en Hunze,Slochteren,0.9993180045630857
Giessenlanden,Hulst,0.9993163336815859
Stadskanaal,Woudrichem,0.9993152430703138
Zeewolde,Zuidhorn,0.9993125854090004
Midden-Delfland,Pekela,0.9993105524851601
Aa en Hunze,Lopik,0.9993100170357295
Moerdijk,Veere,0.9993052885378367
Brummen,Waterland,0.9993042708920442
Beemster,Winsum,0.999302977089518
Ommen,Raalte,0.9993003601969215
Gulpen-Wittem,Werkendam,0.9993003127387492
Aalburg,Brummen,0.9992993354402409
Sluis,Steenbergen,0.9992979636139936
Brummen,Pekela,0.9992963852770815
De Marne,Oostflakkee,0.9992959379894111
Borger-Odoorn,Ferwerderadiel,0.9992947005209472
Coevorden,Hollands Kroon,0.9992946315631868
Cromstrijen,Strijen,0.9992937001564233
Menameradiel,Steenbergen,0.9992928890591566
Graafstroom,Lemsterland,0.9992922961842596
Giessenlanden,Westerveld,0.9992905744315691
Giessenlanden,Losser,0.9992888212485672
Graafstroom,Ten Boer,0.9992879486827672
Aalburg,Zeevang,0.9992869884416289
Goedereede,Medemblik,0.9992851660558045
Ouder-Amstel,Uitgeest,0.9992833146514188
Goedereede,Midden-Delfland,0.999283298560295
Graafstroom,Kollumerland en Nieuwkruisland,0.9992823350603403
Lopik,Oudewater,0.9992815238900271
Oostflakkee,Schouwen-Duiveland,0.999275235092545
Ouderkerk,Wormerland,0.9992743157509054
Pekela,Waterland,0.9992730454294219
Koggenland,Liesveld,0.9992725135262556
Terneuzen,Tholen,0.9992690451530388
Medemblik,Voerendaal,0.9992650909008222
Cromstrijen,Zwartewaterland,0.9992638770052986
Lemsterland,Losser,0.9992595756178867
Borsele,Menameradiel,0.9992593848759929
Neerijnen,Oldambt,0.9992577728407693
Haarlemmerliede en Spaarnwoude,Voerendaal,0.9992525018792151
Lochem,Moerdijk,0.9992495716130426
Bernisse,Waterland,0.9992493334136787
Bergambacht,Eemnes,0.9992493171332087
Onderbanken,Westvoorne,0.9992483187895361
Giessenlanden,Zuidhorn,0.99924710403736
Cromstrijen,Eemnes,0.9992466875909147
Lemsterland,Oostflakkee,0.999245958923024
Brummen,Cromstrijen,0.9992425206433951
Gulpen-Wittem,Lemsterland,0.9992381174471628
Eijsden-Margraten,Zoeterwoude,0.9992381136326418
Nieuwkoop,Ubbergen,0.9992378623417572
Cromstrijen,Medemblik,0.9992372004279669
Kollumerland en Nieuwkruisland,Ten Boer,0.9992368354030269
Lochem,Tytsjerksteradiel,0.9992367362754438
Bernisse,Schouwen-Duiveland,0.9992353075521223
Ameland,Strijen,0.9992339678819123
Hulst,Westerveld,0.99923368538353
Oostflakkee,Terneuzen,0.999233050531264
Ten Boer,Westerveld,0.9992295989410129
Eemnes,Kaag en Braassem,0.9992294888894975
Lopik,Veere,0.9992258649112582
Koggenland,Zeevang,0.999225634966188
Boarnsterhim,Dirksland,0.9992256094792139
Kaag en Braassem,Koggenland,0.9992238529145019
Eemnes,Wormerland,0.999221844306924
Terneuzen,Werkendam,0.9992204104686097
Rijnwaarden,Voerendaal,0.9992184077758345
Gulpen-Wittem,Losser,0.9992161935151913
Dongeradeel,Steenwijkerland,0.99921390638622
Hollands Kroon,Zeewolde,0.9992129749258943
Liesveld,Zeevang,0.999212923007919
Lemsterland,Tholen,0.99921133391644
Oostflakkee,Ten Boer,0.9992097077751518
Koggenland,Ouderkerk,0.9992096132080545
Oudewater,Tytsjerksteradiel,0.999209022664096
Littenseradiel,Zuidhorn,0.9992079285297298
Koggenland,Rijnwaarden,0.9992074733267098
Schermer,Steenbergen,0.9992054405653853
Binnenmaas,Goes,0.9992033291620892
Hollands Kroon,Sluis,0.9992033155564646
Dirksland,Winsum,0.9991996627522476
Eemnes,Rijnwaarden,0.999199618346568
Pekela,Zwartewaterland,0.9991957577548221
Lemsterland,Zuidhorn,0.9991937382683612
Goedereede,Middelharnis,0.999190068124882
Borsele,Steenbergen,0.9991887482541697
Lopik,Slochteren,0.9991878290937072
Brummen,Zwartewaterland,0.9991818596487062
Bergambacht,Middelharnis,0.9991811636636225
Oldambt,Weststellingwerf,0.9991761461079872
Eijsden-Margraten,Nieuwkoop,0.9991753543347743
Middelharnis,Waterland,0.9991737974278372
Losser,Terneuzen,0.9991732207477085
Winsum,Zijpe,0.9991731724407531
Borsele,Coevorden,0.999171154115581
Hollands Kroon,Kollumerland en Nieuwkruisland,0.999170818854063
Borsele,Dongeradeel,0.9991698021713474
Giessenlanden,Terneuzen,0.9991696846585153
Noord-Beveland,Winsum,0.9991683662906572
Opsterland,Sluis,0.9991639763987584
Cromstrijen,Ouderkerk,0.9991617412414742
Steenbergen,Steenwijkerland,0.9991600393067769
Dirksland,Oostflakkee,0.9991599733920555
Lochem,Lopik,0.9991598083185713
Giessenlanden,Graafstroom,0.9991575414849974
Graft-De Rijp,Medemblik,0.9991507219931657
Winsum,Zeevang,0.9991500447277004
Dirksland,Graafstroom,0.9991493338832078
Graft-De Rijp,Strijen,0.9991489350051228
Hulst,Lemsterland,0.999148345305438
Texel,Winsum,0.9991464025456758
Hardinxveld-Giessendam,Stede Broec,0.9991456107476134
Aalburg,Strijen,0.9991446762456309
Medemblik,Pekela,0.9991420541581596
Graft-De Rijp,Kaag en Braassem,0.9991415896137089
Staphorst,Zederik,0.9991397205658057
Menterwolde,Veere,0.999137748069742
Noordoostpolder,Opsterland,0.9991375505341781
Haarlemmerliede en Spaarnwoude,Ouderkerk,0.9991358356337205
Tholen,Westerveld,0.9991357062853997
Aalburg,Kaag en Braassem,0.9991332107059842
Koggenland,Medemblik,0.9991312287457775
Eemnes,Graft-De Rijp,0.9991312268176893
Borger-Odoorn,Ooststellingwerf,0.9991292430615549
Opsterland,Staphorst,0.9991290413150542
Aalburg,Zijpe,0.9991283754503351
Harenkarspel,Menameradiel,0.9991252292559551
Middelharnis,Midden-Delfland,0.9991245948010063
Meppel,Noordwijkerhout,0.9991224927303899
Kampen,Werkendam,0.9991221099182203
Ouderkerk,Zoeterwoude,0.9991191629785376
Eemnes,Middelharnis,0.9991174078125249
Kaag en Braassem,Pekela,0.9991164493083773
Aalburg,Midden-Delfland,0.9991134494769116
Gulpen-Wittem,Zuidhorn,0.9991106101377679
Menameradiel,Opmeer,0.9991083022443427
Vlagtwedde,Vlist,0.999106334721829
Hollands Kroon,Tholen,0.9991053675114725
Landsmeer,Noordwijkerhout,0.9991052291176659
Bernisse,Middelharnis,0.999103424927303
Lingewaal,Winterswijk,0.9991033675504055
Dirksland,Westerveld,0.9991017548359488
De Marne,Schouwen-Duiveland,0.9991015767500084
Haarlemmerliede en Spaarnwoude,Kaag en Braassem,0.9991013350077659
De Marne,Kollumerland en Nieuwkruisland,0.9990981937197345
Hulst,Zeewolde,0.9990950125045862
Lopik,Noordenveld,0.9990929435141315
De Marne,Dirksland,0.9990849625024164
Koggenland,Zijpe,0.9990848595249497
Lemsterland,Ten Boer,0.9990842142712645
Lochem,Veere,0.9990837301335977
Moerdijk,Tytsjerksteradiel,0.9990777439629424
Gulpen-Wittem,Westerveld,0.9990774044064107
Losser,Werkendam,0.9990773225604672
Rijnwaarden,Wormerland,0.9990768928372701
Graft-De Rijp,Middelharnis,0.9990763692727849
Waterland,Wormerland,0.9990756094640103
Kaag en Braassem,Middelharnis,0.9990752066017972
Menameradiel,Schermer,0.9990751109603294
Korendijk,Winsum,0.9990744981685385
Ouderkerk,Pekela,0.999072465339791
Graft-De Rijp,Zeevang,0.9990661592901999
Landerd,Mill en Sint Hubert,0.9990653057065173
Borsele,Opsterland,0.9990649616817653
Boarnsterhim,Hulst,0.9990621069680541
Menameradiel,Steenwijkerland,0.9990600389873209
Eemnes,Pekela,0.9990590653547503
Coevorden,Zeewolde,0.9990589656471577
Liesveld,Zijpe,0.9990562587684718
Borsele,Littenseradiel,0.9990553549308752
Hulst,Ten Boer,0.9990528948088535
De Marne,Hulst,0.9990504246121285
Haarlemmerliede en Spaarnwoude,Midden-Delfland,0.9990488520976708
Dantumadiel,Oldambt,0.9990477361444279
Dongeradeel,Staphorst,0.9990413254685249
Eijsden-Margraten,Rijnwaarden,0.9990389925548551
Berkelland,Haaksbergen,0.9990351826607319
Kaag en Braassem,Wormerland,0.9990346362184608
Cromstrijen,Kaag en Braassem,0.9990330175966274
Zeevang,Zwartewaterland,0.9990295113759556
Meppel,Ouder-Amstel,0.9990294707859683
Aalburg,Rijnwaarden,0.9990243266857816
Haarlemmerliede en Spaarnwoude,Wormerland,0.9990242978394143
Pekela,Strijen,0.9990233466951552
Neerijnen,Vlist,0.9990219142353779
Waterland,Zwartewaterland,0.9990177999339429
Woensdrecht,Zaltbommel,0.9990158339529384
Middelharnis,Rijnwaarden,0.9990115470643188
Strijen,Winsum,0.999009873141581
Borsele,Harenkarspel,0.9990093197936446
Slochteren,Veere,0.9990075020672019
Geldermalsen,Menameradiel,0.9990059418650729
Goedereede,Kaag en Braassem,0.9990047294659453
Hollands Kroon,Schermer,0.9990040165205224
Bernisse,Liesveld,0.9990033954121008
Grootegast,Ooststellingwerf,0.9990015685129918
Midden-Delfland,Zoeterwoude,0.9990001247086392
Graafstroom,Hulst,0.9989935794104587
Boarnsterhim,Giessenlanden,0.998991728732753
Ameland,Winsum,0.9989890917033031
Bernheze,Venray,0.9989859035957065
Leeuwarderadeel,Woudrichem,0.9989833936197478
Loppersum,Menterwolde,0.9989798443592194
Bunschoten,Woerden,0.9989794161502609
Hellevoetsluis,Teylingen,0.9989782592696379
Brummen,Goedereede,0.9989765557990403
De Marne,Ten Boer,0.9989761441796633
Eijsden-Margraten,Medemblik,0.9989704983588846
Medemblik,Nieuwkoop,0.9989695305770594
Staphorst,Steenwijkerland,0.998969144018569
Midden-Delfland,Zwartewaterland,0.9989680193640551
Coevorden,Littenseradiel,0.9989678266377413
Bellingwedde,Midden-Drenthe,0.9989660722914773
Eemsmond,Lopik,0.9989657612052988
Bergambacht,Zoeterwoude,0.9989652223679075
Eemnes,Koggenland,0.998964746777272
Littenseradiel,Zeewolde,0.9989632745128717
Aa en Hunze,Vlist,0.9989629639562194
Bedum,Staphorst,0.9989600644306017
Loppersum,Tytsjerksteradiel,0.998956354197342
Tynaarlo,Vlist,0.9989555436220501
Noordwijkerhout,Ouder-Amstel,0.998953022073294
Kollumerland en Nieuwkruisland,Zeewolde,0.9989381731859218
Liesveld,Zwartewaterland,0.9989333005446623
Haarlemmerliede en Spaarnwoude,Haren,0.9989296564175316
Aalburg,Korendijk,0.9989285686310818
Delfzijl,Stadskanaal,0.9989280522943093
Korendijk,Schouwen-Duiveland,0.9989276310514351
Nieuwkoop,Zoeterwoude,0.9989245997794979
Overbetuwe,Veendam,0.9989237743516681
Gulpen-Wittem,Schouwen-Duiveland,0.9989230054188103
Noordoostpolder,Weststellingwerf,0.9989224563989693
Brummen,Wormerland,0.9989224361099042
Bergambacht,Liesveld,0.9989207526287448
Graft-De Rijp,Liesveld,0.9989206229422878
Bernisse,Winsum,0.9989169179684677
Hulst,Terneuzen,0.9989151164922153
Harlingen,Leerdam,0.9989118065414598
Ten Boer,Zeewolde,0.9989100779305993
Oudewater,Veere,0.9989091422787121
Lopik,Vlagtwedde,0.9989084336112941
Midden-Delfland,Ubbergen,0.9989082304903892
Koggenland,Korendijk,0.9989071885911824
Onderbanken,Valkenburg aan de Geul,0.9989069200442614
Schouwen-Duiveland,Tholen,0.9989068789438662
Voerendaal,Westvoorne,0.9989064915513712
Ouderkerk,Voerendaal,0.9989047250462142
Coevorden,Sluis,0.9989044689804156
Medemblik,Middelharnis,0.9989025562931599
Bergeijk,Boxmeer,0.9988977799696395
Middelharnis,Ouderkerk,0.9988967945296637
Grootegast,Reimerswaal,0.9988941488477007
Aalburg,Ouderkerk,0.9988924837423045
Ten Boer,Zuidhorn,0.9988902842586844
Brummen,Voerendaal,0.9988893141884162
Bronckhorst,Staphorst,0.9988891334348807
Giessenlanden,Ten Boer,0.9988881941221325
Schouwen-Duiveland,Zijpe,0.9988844428662692
Landsmeer,Uitgeest,0.9988843290549676
Brummen,Ubbergen,0.9988823092810747
Graafstroom,Gulpen-Wittem,0.9988813822243314
Eijsden-Margraten,Voerendaal,0.9988788427327712
Dirksland,Tholen,0.998876862646315
Hollands Kroon,Oostflakkee,0.9988738899840943
Aalten,Hellendoorn,0.9988704700537034
Westerveld,Zuidhorn,0.9988653225918336
Ameland,Bernisse,0.9988651746161777
Zijpe,Zwartewaterland,0.9988649360121873
Noordwijkerhout,Uitgeest,0.998860757579773
Bernisse,Midden-Delfland,0.9988576664593489
Scherpenzeel,Weert,0.9988519859421658
Boskoop,Hardinxveld-Giessendam,0.9988482762810035
Oldambt,Vlist,0.9988471429492534
Dirksland,Terneuzen,0.9988458155835012
Cromstrijen,Korendijk,0.9988433207653463
Goedereede,Ouderkerk,0.9988422427704226
Giessenlanden,Werkendam,0.9988422307034326
Buren,Dantumadiel,0.9988407902144927
Oostflakkee,Winsum,0.9988399040022456
Boarnsterhim,Tholen,0.9988397467099339
Kaag en Braassem,Zoeterwoude,0.9988374943126708
Staphorst,Steenbergen,0.9988366633512672
Medemblik,Zoeterwoude,0.9988362088289715
Graft-De Rijp,Zijpe,0.998833615075747
Terneuzen,Westerveld,0.9988335094244715
Neerijnen,Tynaarlo,0.998832104986477
Loppersum,Veere,0.9988312129362514
Haaksbergen,Montferland,0.9988302807768527
Coevorden,Marum,0.998830015187667
Graft-De Rijp,Zoeterwoude,0.9988274025782536
Korendijk,Liesveld,0.9988273455269453
Ouderkerk,Ubbergen,0.9988233917534587
Ten Boer,Tholen,0.9988197653802661
Graafstroom,Tholen,0.9988173277380892
Eemnes,Haarlemmerliede en Spaarnwoude,0.998817048608173
Bernisse,Rijnwaarden,0.9988161583199807
Coevorden,Zuidhorn,0.9988151015747103
Boarnsterhim,Gulpen-Wittem,0.9988118356587127
Liesveld,Middelharnis,0.998810795908124
Midden-Delfland,Voerendaal,0.9988098600087614
Ten Boer,Winsum,0.9988051622049777
Aalburg,Medemblik,0.9988031265774618
Landsmeer,Meppel,0.9988013550052379
Schouwen-Duiveland,Strijen,0.9987995040484814
Eemsmond,Loppersum,0.9987976107811456
Brummen,Zoeterwoude,0.9987971105225091
Losser,Tholen,0.9987960814403267
Bodegraven-Reeuwijk,Nieuwkoop,0.9987941025611355
Cromstrijen,Zijpe,0.9987930269723047
Middelharnis,Zwartewaterland,0.9987929773333795
Lopik,Tytsjerksteradiel,0.9987923934984371
Haren,Voerendaal,0.9987883407335408
Lopik,Moerdijk,0.9987875418172749
Eemnes,Zoeterwoude,0.9987873648767235
Delfzijl,Grootegast,0.9987852365459826
Eijsden-Margraten,Ubbergen,0.9987841978836787
Loon op Zand,Nijkerk,0.9987835803131594
Giessenlanden,Schouwen-Duiveland,0.99878161835744
Waterland,Zoeterwoude,0.9987762638614902
Goedereede,Ubbergen,0.9987753677833033
Landsmeer,Ouder-Amstel,0.998765337758843
Opsterland,Voorst,0.9987642560934685
Bergambacht,Wormerland,0.9987624919472269
Ouderkerk,Zwartewaterland,0.9987621411115062
Liesveld,Strijen,0.9987616137727521
Bedum,Noordoostpolder,0.9987576895187136
Goedereede,Zwartewaterland,0.998757434133414
Assen,De Bilt,0.9987538725741482
Castricum,Oud-Beijerland,0.9987514416382671
Haren,Landsmeer,0.9987508455658887
Gulpen-Wittem,Ten Boer,0.9987470123441486
Hulst,Schouwen-Duiveland,0.9987467179024733
Harenkarspel,Hollands Kroon,0.9987432045882448
Haren,Westvoorne,0.9987430794742089
Lemsterland,Terneuzen,0.9987426999029515
Eemnes,Zwartewaterland,0.998741622552791
Beemster,Bernisse,0.9987371451828687
Menameradiel,Sluis,0.9987371093261952
Boarnsterhim,Terneuzen,0.9987370857216744
Noordoostpolder,Zederik,0.9987356471967126
Goedereede,Zijpe,0.9987348615225965
Dinkelland,Voorst,0.9987329838957129
Bergambacht,Strijen,0.9987289563100255
Nieuwkoop,Rijnwaarden,0.9987268088537228
Dantumadiel,Weststellingwerf,0.9987242791983671
Schouwen-Duiveland,Ten Boer,0.9987226885789471
Dirksland,Hulst,0.9987209731414928
Cromstrijen,Zeevang,0.9987188650402673
Korendijk,Zwartewaterland,0.9987168428882875
Schouwen-Duiveland,Zeevang,0.9987131575176714
Goedereede,Zeevang,0.9987131222129049
Eemnes,Goedereede,0.9987115248208817
Goedereede,Korendijk,0.9987113126323883
Boarnsterhim,Zuidhorn,0.9987111591343989
Eijsden-Margraten,Kaag en Braassem,0.9987072249670095
